time;distance;angle;left_speed;right_speed
1509974792.435295;13.8;0;200;200
1509974792.5426552;13.8;0;200;200
1509974792.6044905;13.8;-1;200;200
1509974792.6577127;13.8;-1;200;200
1509974792.7078636;13.8;-1;200;200
1509974792.760772;13.8;-1;200;200
1509974792.8127766;13.8;-1;200;200
1509974792.8658166;13.8;-1;200;200
1509974792.9039822;13.8;-1;200;200
1509974792.9579444;13.8;-1;200;200
1509974793.012725;13.8;-1;155;245
1509974793.0708401;13.9;-2;160;240
1509974793.1293123;13.9;-2;250;150
1509974793.180332;13.8;-3;240;160
1509974793.2400208;13.8;-2;285;115
1509974793.288824;13.9;-2;280;120
1509974793.354514;13.5;1;280;120
1509974793.4080892;13.5;2;235;165
1509974793.4603143;13.700000000000001;4;240;160
1509974793.512201;13.700000000000001;5;195;205
1509974793.5736606;13.700000000000001;6;200;200
1509974793.624448;13.9;6;155;245
1509974793.6684668;13.9;6;205;195
1509974793.7403295;13.9;5;290;110
1509974793.8057075;13.8;6;325;75
1509974793.8623683;13.8;8;365;35
1509974793.9143817;13.8;11;360;40
1509974793.9625607;13.8;15;405;0
1509974794.0242274;14.5;19;355;45
1509974794.0761125;14.9;23;360;40
1509974794.1301312;16.2;28;315;85
1509974794.1902144;17.3;32;275;125
1509974794.2423577;17.3;36;235;165
1509974794.290016;122.30000000000001;38;240;160
1509974794.3285837;122.30000000000001;38;240;160
1509974794.3884525;19.1;39;240;160
1509974794.4389482;19.900000000000002;40;240;160
1509974794.4762297;19.900000000000002;40;240;160
1509974794.5479233;32.6;41;285;115
1509974794.5952861;32.6;42;280;120
1509974794.6359963;255.0;43;280;120
1509974794.681293;255.0;45;280;120
1509974794.726195;255.0;46;325;75
1509974794.778383;255.0;47;320;80
1509974794.8241193;255.0;50;275;125
1509974794.8745613;255.0;52;280;120
1509974794.9243393;255.0;54;235;165
1509974794.9884276;255.0;55;240;160
1509974795.0399473;255.0;56;240;160
1509974795.1043258;255.0;57;240;160
1509974795.182687;255.0;58;240;160
1509974795.237689;255.0;59;240;160
1509974795.3044248;255.0;60;240;160
1509974795.3608212;255.0;61;240;160
1509974795.413284;255.0;62;240;160
1509974795.4684758;255.0;62;240;160
1509974795.504655;255.0;63;240;160
1509974795.56532;255.0;64;240;160
1509974795.619746;255.0;65;240;160
1509974795.6737618;255.0;66;240;160
1509974795.728141;255.0;67;240;160
1509974795.7900064;255.0;67;240;160
1509974795.8397434;255.0;68;240;160
1509974795.9045744;255.0;70;240;160
1509974795.964678;255.0;70;240;160
1509974796.012781;255.0;71;240;160
1509974796.0638983;255.0;72;240;160
1509974796.1104774;255.0;72;195;205
1509974796.1728399;255.0;73;200;200
1509974796.2239206;255.0;73;200;200
1509974796.282954;255.0;73;200;200
1509974796.340441;255.0;73;245;155
1509974796.4033303;255.0;73;150;250
1509974796.4517622;255.0;73;205;195
1509974796.5056298;255.0;73;200;200
1509974796.5603807;255.0;73;200;200
1509974796.6127422;255.0;73;200;200
1509974796.6644692;255.0;73;200;200
1509974796.7085054;255.0;73;200;200
1509974796.767288;255.0;73;245;155
1509974796.8048651;255.0;73;240;160
1509974796.8618054;255.0;73;240;160
1509974796.914941;255.0;74;105;295
1509974796.9803367;255.0;74;30;370
1509974797.0345554;255.0;72;0;450
1509974797.0861485;255.0;69;0;440
1509974797.1430764;255.0;65;5;395
1509974797.1861236;255.0;58;90;310
1509974797.24802;255.0;54;170;230
1509974797.302854;255.0;51;160;240
1509974797.378045;255.0;50;160;240
1509974797.4452345;255.0;49;160;240
1509974797.5040288;255.0;48;160;240
1509974797.5660806;255.0;48;115;285
1509974797.6043677;255.0;47;75;325
1509974797.6443815;255.0;46;80;320
1509974797.6903224;255.0;44;80;320
1509974797.7380335;255.0;41;80;320
1509974797.7924223;49.2;38;125;275
1509974797.8508334;49.0;36;120;280
1509974797.913641;48.300000000000004;34;165;235
1509974797.9862263;48.300000000000004;32;250;150
1509974798.0526943;49.2;31;105;295
1509974798.1086066;49.2;31;75;325
1509974798.1853037;48.800000000000004;29;80;320
1509974798.2341866;49.800000000000004;26;125;275
1509974798.2945397;49.2;23;120;280
1509974798.358487;50.0;21;165;235
1509974798.418635;49.800000000000004;19;250;150
1509974798.4762754;49.6;19;195;205
1509974798.5407083;50.0;20;155;245
1509974798.5942798;50.0;19;250;150
1509974798.6602182;50.6;19;105;295
1509974798.7024505;50.7;19;75;325
1509974798.7746208;50.400000000000006;17;125;275
1509974798.8352861;50.800000000000004;15;165;235
1509974798.8907466;50.900000000000006;12;250;150
1509974798.96419;51.1;12;150;250
1509974799.0224273;51.0;12;250;150
1509974799.088205;51.5;12;105;295
1509974799.154117;51.5;12;120;280
1509974799.2117043;51.7;10;75;325
1509974799.2678823;51.7;8;80;320
1509974799.3260176;51.900000000000006;6;80;320
1509974799.395207;51.7;2;35;365
1509974799.4580264;51.900000000000006;-1;0;405
1509974799.5398233;51.800000000000004;-8;0;445
1509974799.604057;52.7;-15;0;440
1509974799.6704564;53.5;-22;5;395
1509974799.730398;54.2;-28;45;355
1509974799.8136077;55.5;-35;85;315
1509974799.857981;55.900000000000006;-39;125;275
1509974799.9307523;58.0;-42;165;235
1509974799.9940188;58.2;-43;70;330
1509974800.0622728;58.0;-46;0;455
1509974800.1673627;58.0;-53;0;485
1509974800.2495797;58.0;-61;0;525
1509974800.3142114;58.0;-69;0;520
1509974800.3800373;74.4;-78;0;430
1509974800.4453266;74.4;-84;50;350
1509974800.5018;74.8;-92;130;270
1509974800.582901;74.8;-95;210;190
1509974800.6443408;74.8;-96;200;200
1509974800.7056904;74.8;-96;245;155
1509974800.7724962;74.8;-96;150;250
1509974800.8283432;74.8;-96;115;285
1509974800.8781884;74.8;-96;120;280
1509974800.9543552;74.8;-98;120;280
1509974801.0078473;74.8;-101;120;280
1509974801.0781586;74.8;-103;120;280
1509974801.1552594;74.8;-105;120;280
1509974801.224826;74.8;-108;255;145
1509974801.285256;74.8;-109;195;205
1509974801.3386528;74.8;-109;155;245
1509974801.3985958;74.8;-109;250;150
1509974801.4623127;74.8;-109;240;160
1509974801.5072846;74.8;-109;240;160
1509974801.591367;73.8;-108;105;295
1509974801.6508143;74.2;-108;75;325
1509974801.6981237;73.60000000000001;-109;80;320
1509974801.7579906;74.0;-112;80;320
1509974801.818152;74.3;-114;260;140
1509974801.8746421;74.8;-116;195;205
1509974801.9372983;74.4;-116;200;200
1509974802.00831;74.8;-116;200;200
1509974802.0645623;74.0;-116;200;200
1509974802.1103113;73.60000000000001;-116;200;200
1509974802.185764;73.4;-116;200;200
1509974802.2403123;72.8;-116;200;200
1509974802.3046718;72.10000000000001;-116;200;200
1509974802.3723257;72.0;-116;200;200
1509974802.4413426;71.4;-117;200;200
1509974802.4973607;72.0;-117;200;200
1509974802.5709066;71.4;-117;245;155
1509974802.6278493;71.0;-117;285;115
1509974802.6926248;71.2;-116;370;30
1509974802.752365;70.2;-113;405;0
1509974802.814234;68.9;-109;355;45
1509974802.8647943;68.0;-105;315;85
1509974802.9404092;67.7;-100;275;125
1509974803.0042102;67.0;-97;280;120
1509974803.0621488;66.8;-96;280;120
1509974803.1484747;66.60000000000001;-93;370;30
1509974803.20856;66.10000000000001;-90;405;0
1509974803.2662735;65.8;-86;400;0
1509974803.3378265;66.2;-81;445;0
1509974803.4044447;66.10000000000001;-74;395;5
1509974803.457788;66.10000000000001;-70;355;45
1509974803.5042315;67.4;-65;360;40
1509974803.5729394;67.7;-60;315;85
1509974803.6445477;67.7;-56;365;35
1509974803.7128224;32.6;-52;405;0
1509974803.7718616;32.6;-48;355;45
1509974803.834722;20.900000000000002;-43;360;40
1509974803.903299;19.700000000000003;-37;360;40
1509974803.9741826;16.6;-32;360;40
1509974804.0258842;15.600000000000001;-29;315;85
1509974804.0787754;14.3;-26;320;80
1509974804.1499257;13.100000000000001;-22;365;35
1509974804.212432;12.8;-18;360;40
1509974804.2741063;11.8;-14;360;40
1509974804.3559415;10.700000000000001;-8;315;85
1509974804.413793;10.3;-4;230;170
1509974804.4746597;10.100000000000001;-1;240;160
1509974804.5559442;10.100000000000001;1;240;160
1509974804.6128013;10.100000000000001;2;240;160
1509974804.6740704;9.9;3;285;115
1509974804.7281938;10.100000000000001;4;325;75
1509974804.8038447;9.9;7;320;80
1509974804.8557868;9.9;9;275;125
1509974804.9157596;10.3;12;280;120
1509974804.9876714;10.3;15;235;165
1509974805.0484583;10.3;17;240;160
1509974805.141081;10.700000000000001;18;240;160
1509974805.2127898;10.9;19;285;115
1509974805.2717407;11.4;21;280;120
1509974805.3312867;11.8;23;235;165
1509974805.4089177;12.200000000000001;25;240;160
1509974805.4680388;12.100000000000001;26;240;160
1509974805.5259163;13.0;27;240;160
1509974805.6040463;13.700000000000001;27;240;160
1509974805.6643145;13.9;29;240;160
1509974805.7104244;13.9;29;240;160
1509974805.7831862;14.9;30;285;115
1509974805.8262403;15.600000000000001;31;235;165
1509974805.888085;16.2;33;240;160
1509974805.9548542;18.3;34;240;160
1509974806.0157773;18.3;35;240;160
1509974806.0753014;18.3;35;240;160
1509974806.1423748;18.3;36;240;160
1509974806.2041504;18.3;37;240;160
1509974806.265818;19.0;38;240;160
1509974806.3262582;19.5;40;240;160
1509974806.4073117;32.6;40;195;205
1509974806.4698505;21.3;41;245;155
1509974806.528012;32.6;41;240;160
1509974806.6127484;32.6;42;195;205
1509974806.676106;32.6;43;200;200
1509974806.7449179;32.6;43;200;200
1509974806.8041065;32.6;42;200;200
1509974806.8600218;32.6;43;155;245
1509974806.9083045;32.4;43;250;150
1509974806.9801192;32.6;42;240;160
1509974807.040157;32.6;43;240;160
1509974807.1057415;32.6;44;240;160
1509974807.1678507;32.6;45;195;205
1509974807.238611;255.0;46;200;200
1509974807.3105612;255.0;46;200;200
1509974807.3792148;32.6;46;200;200
1509974807.4456167;32.6;46;200;200
1509974807.517266;32.6;46;155;245
1509974807.5897403;32.6;45;205;195
1509974807.65895;32.1;45;200;200
1509974807.729912;32.6;44;200;200
1509974807.8043137;32.4;44;200;200
1509974807.8659377;32.1;44;155;245
1509974807.9257083;32.6;44;205;195
1509974807.9929242;32.6;43;200;200
1509974808.0533056;32.6;43;200;200
1509974808.1061506;32.6;42;245;155
1509974808.171621;32.800000000000004;43;195;205
1509974808.240429;33.4;43;200;200
1509974808.3099606;33.800000000000004;43;155;245
1509974808.386196;35.300000000000004;42;115;285
1509974808.4405515;34.7;42;120;280
1509974808.5248463;34.9;39;75;325
1509974808.5929158;34.9;37;80;320
1509974808.6357338;34.2;35;80;320
1509974808.690054;34.5;30;80;320
1509974808.7708771;34.0;27;80;320
1509974808.8246872;34.0;24;80;320
1509974808.8981454;34.5;22;80;320
1509974808.954424;34.7;17;80;320
1509974809.0246937;34.7;14;80;320
1509974809.0861015;34.9;11;80;320
1509974809.163805;34.800000000000004;8;80;320
1509974809.2227173;35.300000000000004;4;80;320
1509974809.2812173;35.5;0;35;365
1509974809.388424;35.7;-5;40;360
1509974809.4639442;36.0;-10;40;360
1509974809.5142367;36.4;-13;85;315
1509974809.5725906;36.4;-17;125;275
1509974809.6447248;36.4;-20;75;325
1509974809.7239804;36.6;-22;80;320
1509974809.7933128;36.6;-26;80;320
1509974809.8507316;37.0;-30;125;275
1509974809.9260907;36.800000000000004;-32;165;235
1509974810.0042586;37.2;-34;250;150
1509974810.0803552;36.5;-34;240;160
1509974810.1558022;35.9;-33;240;160
1509974810.2189505;35.7;-32;240;160
1509974810.282822;34.9;-31;240;160
1509974810.3544679;34.5;-31;240;160
1509974810.4232988;34.0;-30;150;250
1509974810.4745703;33.6;-29;160;240
1509974810.52537;33.4;-30;250;150
1509974810.5932543;33.7;-31;195;205
1509974810.6380696;33.0;-30;245;155
1509974810.688;32.6;-29;330;70
1509974810.7459922;32.6;-28;500;0
1509974810.8087976;32.6;-24;615;0
1509974810.873259;30.400000000000002;-19;600;0
1509974810.9415636;28.900000000000002;-10;555;0
1509974811.004677;28.200000000000003;0;605;0
1509974811.0619268;27.700000000000003;9;600;0
1509974811.1247492;28.0;19;600;0
1509974811.1946015;29.0;27;420;0
1509974811.2459753;30.200000000000003;33;350;50
1509974811.3100946;32.6;40;270;130
1509974811.3807642;32.6;44;235;165
1509974811.4324415;33.6;45;240;160
1509974811.4879758;33.800000000000004;46;195;205
1509974811.5552535;34.9;47;200;200
1509974811.6059663;35.300000000000004;46;245;155
1509974811.654863;36.2;46;195;205
1509974811.712147;36.6;47;245;155
1509974811.7812734;36.6;48;240;160
1509974811.8401525;36.6;49;195;205
1509974811.9040794;36.6;50;200;200
1509974811.9726388;36.6;49;200;200
1509974812.0186262;36.6;50;245;155
1509974812.0776854;36.6;50;240;160
1509974812.1440213;36.6;51;240;160
1509974812.2109368;36.6;52;240;160
1509974812.2804973;36.6;53;240;160
1509974812.3397088;36.6;53;240;160
1509974812.3926764;36.6;54;195;205
1509974812.4549487;36.6;55;245;155
1509974812.5149248;36.6;55;195;205
1509974812.5798206;36.6;56;245;155
1509974812.6413572;36.6;56;240;160
1509974812.6960683;36.6;57;195;205
1509974812.7746644;174.70000000000002;57;200;200
1509974812.844242;174.70000000000002;57;245;155
1509974812.9102705;174.70000000000002;58;240;160
1509974812.9825745;174.70000000000002;58;240;160